대여소,자치구,위도_left,경도_left,geometry,index_right,역사_ID,역사명,호선,위도_right,경도_right
교보타워 버스정류장(신논현역 3번출구 후면),강남구,37.5055809,127.0242767,POINT (14140277.800627885 4509814.507149326),91,4306,신논현,신분당선(연장2),37.504598,127.02506
신논현역 4번출구,강남구,37.504673,127.025795,POINT (14140446.817010757 4509687.106278983),91,4306,신논현,신분당선(연장2),37.504598,127.02506
교보타워 버스정류장(신논현역 3번출구 후면),강남구,37.5055809,127.0242767,POINT (14140277.800627885 4509814.507149326),121,4125,신논현,9호선,37.504598,127.02506
신논현역 4번출구,강남구,37.504673,127.025795,POINT (14140446.817010757 4509687.106278983),121,4125,신논현,9호선,37.504598,127.02506
논현역 10번출구,강남구,37.51137161,127.0214615,POINT (14139964.413997404 4510627.123731513),259,2734,논현,7호선,37.511093,127.021415
논현역 10번출구,강남구,37.51137161,127.0214615,POINT (14139964.413997404 4510627.123731513),92,4305,논현,신분당선(연장2),37.511093,127.021415
압구정역 2번 출구 옆,강남구,37.5271225,127.028717,POINT (14140772.092562854 4512837.782149624),690,326,압구정,3호선,37.527072,127.028461
극동스포츠 앞,강남구,37.5257225,127.0258865,POINT (14140457.002744162 4512641.271385176),690,326,압구정,3호선,37.527072,127.028461
압구정 한양 3차 아파트,강남구,37.52838135,127.0390167,POINT (14141918.649922177 4513014.483567144),450,1848,압구정로데오,분당선,37.527381,127.040534
압구정로데오역 6번출구,강남구,37.52745438,127.0404282,POINT (14142075.777383432 4512884.366970749),450,1848,압구정로데오,분당선,37.527381,127.040534
학동로 래미안 아파트 앞,강남구,37.51777267,127.0430222,POINT (14142364.54014255 4511525.464754619),449,1849,강남구청,분당선,37.517469,127.041151
청담역 13번 출구 앞,강남구,37.52058029,127.0563278,POINT (14143845.712759249 4511919.5175907565),262,2731,청담,7호선,37.519365,127.05335
청담역 2번출구,강남구,37.51978683,127.0567627,POINT (14143894.125605794 4511808.153024574),262,2731,청담,7호선,37.519365,127.05335
청담공원앞 교차로,강남구,37.51871109,127.0508499,POINT (14143235.915720634 4511657.17147806),262,2731,청담,7호선,37.519365,127.05335
청담역 11번 출구,강남구,37.51925659,127.0515976,POINT (14143319.149303898 4511733.732859984),262,2731,청담,7호선,37.519365,127.05335
봉은사역 5번출구 옆,강남구,37.51424789,127.0611191,POINT (14144379.077835487 4511030.778641771),117,4129,봉은사,9호선(연장),37.514219,127.060245
봉은사역 7번 출구,강남구,37.51393509,127.0598221,POINT (14144234.69645593 4510986.879777838),117,4129,봉은사,9호선(연장),37.514219,127.060245
"봉은사역 1,2번 출구",강남구,37.51430893,127.0597,POINT (14144221.104346104 4511039.345116723),117,4129,봉은사,9호선(연장),37.514219,127.060245
봉은사역6번출구(현대아이파크타워앞),강남구,37.51390839,127.06073,POINT (14144335.763421621 4510983.132664663),117,4129,봉은사,9호선(연장),37.514219,127.060245
삼성중앙역4번출구(문화센터더 리빌),강남구,37.51357651,127.0550308,POINT (14143701.331379691 4510936.556300135),118,4128,삼성중앙,9호선(연장),37.513011,127.053282
삼성중앙역 5번출구,강남구,37.51311111,127.0539093,POINT (14143576.486570766 4510871.24195679),118,4128,삼성중앙,9호선(연장),37.513011,127.053282
삼성중앙역·플래티넘아파트 정류소,강남구,37.51264191,127.0515671,POINT (14143315.754059428 4510805.394732854),118,4128,삼성중앙,9호선(연장),37.513011,127.053282
레베쌍트 빌딩 앞,강남구,37.51292038,127.056427,POINT (14143856.755652735 4510844.474982257),118,4128,삼성중앙,9호선(연장),37.513011,127.053282
도곡역 대치지구대 방향,강남구,37.4919281,127.0569687,POINT (14143917.057420896 4507898.844449791),682,334,도곡,3호선,37.490922,127.055452
학여울역 사거리,강남구,37.49611664,127.0694428,POINT (14145305.667881003 4508486.513014655),680,336,학여울,3호선,37.496663,127.070594
학여울역 사거리(LG베스트샵 앞),강남구,37.49689484,127.070137,POINT (14145382.945871513 4508595.70115286),680,336,학여울,3호선,37.496663,127.070594
학여울역사거리(은마아파트),강남구,37.49665833,127.0693817,POINT (14145298.866260113 4508562.516649871),680,336,학여울,3호선,37.496663,127.070594
선릉역3번출구,강남구,37.50400925,127.0490799,POINT (14143038.880221928 4509593.966684753),738,220,선릉,2호선,37.504286,127.048203
3호선 매봉역 3번출구앞,강남구,37.48676682,127.0467606,POINT (14142780.696926933 4507174.741975905),683,333,매봉,3호선,37.486947,127.046769
매봉역 1번출구,강남구,37.48661041,127.0455093,POINT (14142641.402848102 4507152.799194891),683,333,매봉,3호선,37.486947,127.046769
대모산입구역 2번출구 앞,강남구,37.49207687,127.0719757,POINT (14145587.629019232 4507919.716898896),617,1028,대모산입구,분당선,37.491373,127.07272
대모산입구역 4번 출구 앞,강남구,37.49180984,127.0731583,POINT (14145719.275449045 4507882.252587059),617,1028,대모산입구,분당선,37.491373,127.07272
대모산입구역 7번 출구 앞,강남구,37.49017715,127.0730591,POINT (14145708.232555557 4507653.189075697),617,1028,대모산입구,분당선,37.491373,127.07272
일원역 4~5번 출구 사이,강남구,37.4833107,127.0849381,POINT (14147030.596786693 4506689.8931199135),678,338,일원,3호선,37.483681,127.08439
대청역 1번출구 뒤,강남구,37.49400711,127.0795136,POINT (14146426.744208883 4508190.533574949),679,337,대청,3호선,37.493514,127.079532
영희초교 사거리(래미안개포루체하임),강남구,37.4908371,127.0806503,POINT (14146553.281074068 4507745.778287351),679,337,대청,3호선,37.493514,127.079532
대청역,강남구,37.49370575,127.0799942,POINT (14146480.24435616 4508148.251680749),679,337,대청,3호선,37.493514,127.079532
역삼빌딩 앞(하나은행 옆),강남구,37.50154495,127.0385666,POINT (14141868.545019371 4509248.17520616),737,221,역삼,2호선,37.500622,127.036456
포스코피앤에스타워 (역삼역 3번출구 부근),강남구,37.49959946,127.0337524,POINT (14141332.630726794 4508975.1913982965),737,221,역삼,2호선,37.500622,127.036456
강남파이낸스센터앞(역삼역2번출구),강남구,37.50024414,127.0360565,POINT (14141589.121965531 4509065.649672715),737,221,역삼,2호선,37.500622,127.036456
강남구청역 2번출구 뒤,강남구,37.51681137,127.0404739,POINT (14142080.86468416 4511390.548553309),261,2732,강남구청,7호선,37.517179,127.041255
신사동 가로수길 입구,강남구,37.51763535,127.0224533,POINT (14140074.82066837 4511506.1921081515),93,4304,신사,신분당선(연장2),37.516334,127.020114
신사동 가로수길 입구,강남구,37.51763535,127.0224533,POINT (14140074.82066837 4511506.1921081515),689,327,신사,3호선,37.516334,127.020114
한티역 3번출구,강남구,37.49655151,127.0542984,POINT (14143619.800984632 4508547.52886728),621,1024,한티,분당선,37.496237,127.052873
한티역 롯데백화점 앞,강남구,37.49667358,127.0534287,POINT (14143522.986423489 4508564.65636033),621,1024,한티,분당선,37.496237,127.052873
한티역 6번 출구,강남구,37.4958992,127.0521927,POINT (14143385.39553287 4508456.004520045),621,1024,한티,분당선,37.496237,127.052873
역삼중학교 앞(체육관 방향),강남구,37.49526215,127.0495071,POINT (14143086.435908394 4508366.622045328),621,1024,한티,분당선,37.496237,127.052873
한국우편사업진흥원,강남구,37.51474762,127.0351334,POINT (14141486.362943582 4511100.911949616),260,2733,학동,7호선,37.514229,127.031656
학동역,강남구,37.51395035,127.0301514,POINT (14140931.769240446 4510989.021386945),260,2733,학동,7호선,37.514229,127.031656
서울 논현동우체국 앞,강남구,37.51446152,127.0326004,POINT (14141204.3906734 4511060.759931341),260,2733,학동,7호선,37.514229,127.031656
대치역 사거리,강남구,37.49449921,127.063797,POINT (14144677.18029988 4508259.577345399),681,335,대치,3호선,37.494612,127.063642
대치역 7번출구,강남구,37.49411774,127.0629044,POINT (14144577.8165224 4508206.055405507),681,335,대치,3호선,37.494612,127.063642
개포동역 사거리,강남구,37.48927689,127.0655747,POINT (14144875.072958665 4507526.886335859),618,1027,개포동,분당선,37.489116,127.06614
개포동역 4번출구,강남구,37.48929596,127.0661697,POINT (14144941.308055688 4507529.561761892),618,1027,개포동,분당선,37.489116,127.06614
수서역 1번출구 앞,강남구,37.48735046,127.1009979,POINT (14148818.365544932 4507256.621319587),616,1030,수서,분당선,37.487472,127.101422
수서역 6번출구 앞,강남구,37.48677826,127.1005173,POINT (14148764.865397658 4507176.346896926),616,1030,수서,분당선,37.487472,127.101422
수서역 5번출구,강남구,37.48735046,127.1023254,POINT (14148966.142168961 4507256.621319587),677,339,수서,3호선,37.487378,127.101907
언주역 6번출구앞,강남구,37.50636673,127.034523,POINT (14141418.413526397 4509924.779824333),120,4126,언주,9호선(연장),37.507287,127.033868
크린랩 본사,강남구,37.50958633,127.0409088,POINT (14142129.277530707 4510376.5867412),448,1850,선정릉,분당선,37.510735,127.043677
역삼서초삼성 세무서 앞 (역삼빌딩 앞,강남구,37.49847031,127.0301132,POINT (14140927.516835898 4508816.75659751),736,222,강남,2호선,37.49799,127.027912
도곡역 1번 출구,강남구,37.49095917,127.0549851,POINT (14143696.24407896 4507762.904469987),620,1025,도곡,분당선,37.491224,127.055186
선정릉 디캠프(D.CAMP)앞,강남구,37.50799942,127.0452499,POINT (14142612.52657219 4510153.893004313),119,4127,선정릉,9호선(연장),37.510297,127.043999
선정릉역 4번 출구,강남구,37.5097847,127.0427704,POINT (14142336.509894766 4510404.42466828),119,4127,선정릉,9호선(연장),37.510297,127.043999
개포고등학교 정문앞,강남구,37.48485184,127.0583725,POINT (14144073.327722074 4506906.092322915),619,1026,구룡,분당선,37.486839,127.058856
구룡역 1번 출구,강남구,37.48642349,127.0593185,POINT (14144178.635960365 4507126.5762219215),619,1026,구룡,분당선,37.486839,127.058856
구룡역 4번 출구,강남구,37.48670578,127.0605011,POINT (14144310.282390177 4507166.178660209),619,1026,구룡,분당선,37.486839,127.058856
구룡역 5번 출구,강남구,37.48607635,127.0592194,POINT (14144167.604198828 4507077.876188222),619,1026,구룡,분당선,37.486839,127.058856
